ip,org,country,loc
68.71.66.71,AS20135 Millennium Telcom LLC,US,"32.7254,-97.3208"
194.125.145.45,AS5466 Eircom Limited,IE,"53.4597,-6.2181"
025.02.10.16,,,
207.249.169.64,"AS6503 Axtel, S.A.B. de C.V.",MX,"19.4285,-99.1277"
66.111.250.61,AS35041 Binero AB,SE,"59.3294,18.0687"
025.03.30.04,,,
148.81.231.152,AS1887 NAUKOWA I AKADEMICKA SIEC KOMPUTEROWA - PANSTWOWY INSTYTUT BADAWCZY,PL,"52.2298,21.0118"
64.25.33.79,,KR,"37.5660,126.9784"
69.169.224.58,"AS16509 Amazon.com, Inc.",US,"47.5846,-122.3005"
156.70.120.33,AS23528 Sparkpost,US,"39.1157,-77.5636"
121.102.119.231,AS2497 Internet Initiative Japan Inc.,JP,"35.0211,135.7538"
025.04.26.09,,,
024.12.17.20,,,
128.245.68.70,"AS14340 Salesforce.com, Inc.",US,"38.8951,-77.0364"
204.244.24.170,AS5071 Navigata Communications Limited,CA,"43.7064,-79.3986"
216.152.166.130,AS11081 United Telecommunication Services (UTS),CW,"12.1225,-68.8864"
203.185.222.157,AS2764 AAPT Limited,AU,"-37.8140,144.9633"
200.32.82.18,"AS3549 Level 3 Parent, LLC",CO,"4.7432,-74.0653"
200.84.77.221,"AS8048 CANTV Servicios, Venezuela",VE,"7.7669,-72.2250"
89.25.157.200,AS31242 P4 Sp. z o.o.,PL,"50.2584,19.0275"
62.161.35.52,AS3215 Orange S.A.,FR,"48.8534,2.3488"
183.62.39.149,AS4134 CHINANET-BACKBONE,CN,"22.5455,114.0683"
162.39.201.2,AS7029 Windstream Communications LLC,US,"34.5326,-83.9849"
200.49.66.106,AS11664 Techtel LMDS Comunicaciones Interactivas S.A.,AR,"-34.5087,-58.4803"
202.102.243.3,AS4837 CHINA UNICOM China169 Backbone,CN,"29.8782,121.5494"
38.8.34.2,AS174 Cogent Communications,US,"39.3420,-91.1951"
13.111.112.173,"AS14340 Salesforce.com, Inc.",US,"32.7831,-96.8067"
54.240.26.35,"AS16509 Amazon.com, Inc.",US,"45.8399,-119.7006"
38.254.252.17,AS54936 Wyyerd Group,US,"40.0150,-105.2706"
202.63.165.35,AS4837 CHINA UNICOM China169 Backbone,CN,"31.2222,121.4581"
212.119.79.67,AS34397 Middle East Internet Company Limited,SA,"24.6877,46.7219"
209.216.124.213,AS394710 TelMAX Inc.,CA,"44.0501,-79.4663"
67.98.48.239,"AS3356 Level 3 Parent, LLC",US,"32.5530,-92.0422"
206.161.21.66,"AS3491 PCCW Global, Inc.",TW,"25.0143,121.4672"
54.240.105.218,"AS16509 Amazon.com, Inc.",US,"47.5846,-122.3005"
65.40.37.157,"AS2379 CenturyLink Communications, LLC",US,"28.3339,-81.6423"
192.168.3.10,,,
212.160.153.96,AS5617 Orange Polska Spolka Akcyjna,PL,"52.2298,21.0118"
34.210.19.45,"AS16509 Amazon.com, Inc.",US,"45.8399,-119.7006"
66.98.2.152,AS6400 Compañía Dominicana de Teléfonos S. A.,DO,"18.4719,-69.8923"
65.90.116.175,"AS3356 Level 3 Parent, LLC",US,"32.5530,-92.0422"
65.105.65.146,AS2828 Verizon Business,US,"40.7143,-74.0060"
025.05.04.12,,,
205.210.42.30,"AS16686 easyDNS Technologies, Inc.",CA,"43.7064,-79.3986"
212.43.206.2,AS8426 Claranet Limited,FR,"48.8534,2.3488"
64.2.62.8,AS2828 Verizon Business,US,"37.3394,-121.8950"
177.150.82.216,AS26615 TIM S/A,BR,"-23.5475,-46.6361"
025.04.18.13,,,
66.109.112.59,"AS19504 WTC Communications, Inc.",US,"39.1836,-96.5717"
152.163.225.102,,US,"40.7313,-73.9892"
209.163.100.2,AS14135 Navisite Opco LLC,US,"42.3584,-71.0598"
149.72.37.50,"AS11377 SendGrid, Inc.",US,"36.1750,-115.1372"
64.12.136.5,,US,"33.9728,-118.4276"
155.89.28.179,AS37081 Movicel Telecomunicacoes S.A.,AO,"-8.8368,13.2343"
167.89.58.41,"AS11377 SendGrid, Inc.",US,"41.8500,-87.6500"
211.162.76.168,AS17623 China Unicom Shenzen network,CN,"22.5455,114.0683"
149.72.61.5,"AS11377 SendGrid, Inc.",US,"36.1750,-115.1372"
10.40.1.10,,,
59.112.109.66,AS3462 Data Communication Business Group,TW,"24.9937,121.2970"
54.240.113.49,"AS16509 Amazon.com, Inc.",US,"45.8399,-119.7006"
025.04.30.11,,,
64.143.48.23,"AS7018 AT&T Enterprises, LLC",US,"32.7781,-96.8054"
134.164.251.44,AS6009 DoD Network Information Center,US,"32.3526,-90.8779"
217.131.253.208,AS34984 Superonline Iletisim Hizmetleri A.S.,TR,"41.0138,28.9497"
216.173.237.36,"AS7018 AT&T Enterprises, LLC",US,"32.9245,-96.8938"
200.171.175.91,AS27699 TELEFÔNICA BRASIL S.A,BR,"-22.9056,-47.0608"
216.53.71.180,AS7270 IDT Corporation,US,"40.7143,-74.0060"
